agg_level_pseo,grad_char,firm_char,cip_level,inst_level,geo_level,ind_level,by_grad_cohort,by_degree_level
72,Degree Level * CIP 4-digit * Start Year for Graduation Cohort * Census Division of Institution,NAICS Sector,4,D,N,S,1,1
73,State of Institution,NAICS Sector,A,S,N,S,0,0
74,Degree Level * State of Institution,NAICS Sector,A,S,N,S,0,1
75,CIP 2-digit * State of Institution,NAICS Sector,2,S,N,S,0,0
76,Degree Level * CIP 2-digit * State of Institution,NAICS Sector,2,S,N,S,0,1
77,CIP 4-digit * State of Institution,NAICS Sector,4,S,N,S,0,0
78,Degree Level * CIP 4-digit * State of Institution,NAICS Sector,4,S,N,S,0,1
79,Start Year for Graduation Cohort * State of Institution,NAICS Sector,A,S,N,S,1,0
80,Degree Level * Start Year for Graduation Cohort * State of Institution,NAICS Sector,A,S,N,S,1,1
81,CIP 2-digit * Start Year for Graduation Cohort * State of Institution,NAICS Sector,2,S,N,S,1,0
82,Degree Level * CIP 2-digit * Start Year for Graduation Cohort * State of Institution,NAICS Sector,2,S,N,S,1,1
83,CIP 4-digit * Start Year for Graduation Cohort * State of Institution,NAICS Sector,4,S,N,S,1,0
84,Degree Level * CIP 4-digit * Start Year for Graduation Cohort * State of Institution,NAICS Sector,4,S,N,S,1,1
85,Institution ID,NAICS Sector,A,I,N,S,0,0
86,Degree Level * Institution ID,NAICS Sector,A,I,N,S,0,1
87,CIP 2-digit * Institution ID,NAICS Sector,2,I,N,S,0,0
88,Degree Level * CIP 2-digit * Institution ID,NAICS Sector,2,I,N,S,0,1
89,CIP 4-digit * Institution ID,NAICS Sector,4,I,N,S,0,0
90,Degree Level * CIP 4-digit * Institution ID,NAICS Sector,4,I,N,S,0,1
91,Start Year for Graduation Cohort * Institution ID,NAICS Sector,A,I,N,S,1,0
92,Degree Level * Start Year for Graduation Cohort * Institution ID,NAICS Sector,A,I,N,S,1,1
93,CIP 2-digit * Start Year for Graduation Cohort * Institution ID,NAICS Sector,2,I,N,S,1,0
94,Degree Level * CIP 2-digit * Start Year for Graduation Cohort * Institution ID,NAICS Sector,2,I,N,S,1,1
95,CIP 4-digit * Start Year for Graduation Cohort * Institution ID,NAICS Sector,4,I,N,S,1,0
96,Degree Level * CIP 4-digit * Start Year for Graduation Cohort * Institution ID,NAICS Sector,4,I,N,S,1,1
97,,Census Division,A,N,D,A,0,0
98,Degree Level,Census Division,A,N,D,A,0,1
99,CIP 2-digit,Census Division,2,N,D,A,0,0
100,Degree Level * CIP 2-digit,Census Division,2,N,D,A,0,1
101,CIP 4-digit,Census Division,4,N,D,A,0,0
102,Degree Level * CIP 4-digit,Census Division,4,N,D,A,0,1
103,Start Year for Graduation Cohort,Census Division,A,N,D,A,1,0
104,Degree Level * Start Year for Graduation Cohort,Census Division,A,N,D,A,1,1
105,CIP 2-digit * Start Year for Graduation Cohort,Census Division,2,N,D,A,1,0
106,Degree Level * CIP 2-digit * Start Year for Graduation Cohort,Census Division,2,N,D,A,1,1
107,CIP 4-digit * Start Year for Graduation Cohort,Census Division,4,N,D,A,1,0
108,Degree Level * CIP 4-digit * Start Year for Graduation Cohort,Census Division,4,N,D,A,1,1
109,Census Division of Institution,Census Division,A,D,D,A,0,0
110,Degree Level * Census Division of Institution,Census Division,A,D,D,A,0,1
111,CIP 2-digit * Census Division of Institution,Census Division,2,D,D,A,0,0
112,Degree Level * CIP 2-digit * Census Division of Institution,Census Division,2,D,D,A,0,1
113,CIP 4-digit * Census Division of Institution,Census Division,4,D,D,A,0,0
114,Degree Level * CIP 4-digit * Census Division of Institution,Census Division,4,D,D,A,0,1
115,Start Year for Graduation Cohort * Census Division of Institution,Census Division,A,D,D,A,1,0
116,Degree Level * Start Year for Graduation Cohort * Census Division of Institution,Census Division,A,D,D,A,1,1
117,CIP 2-digit * Start Year for Graduation Cohort * Census Division of Institution,Census Division,2,D,D,A,1,0
118,Degree Level * CIP 2-digit * Start Year for Graduation Cohort * Census Division of Institution,Census Division,2,D,D,A,1,1
119,CIP 4-digit * Start Year for Graduation Cohort * Census Division of Institution,Census Division,4,D,D,A,1,0
120,Degree Level * CIP 4-digit * Start Year for Graduation Cohort * Census Division of Institution,Census Division,4,D,D,A,1,1
121,State of Institution,Census Division,A,S,D,A,0,0
122,Degree Level * State of Institution,Census Division,A,S,D,A,0,1
123,CIP 2-digit * State of Institution,Census Division,2,S,D,A,0,0
124,Degree Level * CIP 2-digit * State of Institution,Census Division,2,S,D,A,0,1
125,CIP 4-digit * State of Institution,Census Division,4,S,D,A,0,0
126,Degree Level * CIP 4-digit * State of Institution,Census Division,4,S,D,A,0,1
127,Start Year for Graduation Cohort * State of Institution,Census Division,A,S,D,A,1,0
128,Degree Level * Start Year for Graduation Cohort * State of Institution,Census Division,A,S,D,A,1,1
129,CIP 2-digit * Start Year for Graduation Cohort * State of Institution,Census Division,2,S,D,A,1,0
130,Degree Level * CIP 2-digit * Start Year for Graduation Cohort * State of Institution,Census Division,2,S,D,A,1,1
131,CIP 4-digit * Start Year for Graduation Cohort * State of Institution,Census Division,4,S,D,A,1,0
132,Degree Level * CIP 4-digit * Start Year for Graduation Cohort * State of Institution,Census Division,4,S,D,A,1,1
133,Institution ID,Census Division,A,I,D,A,0,0
134,Degree Level * Institution ID,Census Division,A,I,D,A,0,1
135,CIP 2-digit * Institution ID,Census Division,2,I,D,A,0,0
136,Degree Level * CIP 2-digit * Institution ID,Census Division,2,I,D,A,0,1
137,CIP 4-digit * Institution ID,Census Division,4,I,D,A,0,0
138,Degree Level * CIP 4-digit * Institution ID,Census Division,4,I,D,A,0,1
139,Start Year for Graduation Cohort * Institution ID,Census Division,A,I,D,A,1,0
140,Degree Level * Start Year for Graduation Cohort * Institution ID,Census Division,A,I,D,A,1,1
141,CIP 2-digit * Start Year for Graduation Cohort * Institution ID,Census Division,2,I,D,A,1,0
142,Degree Level * CIP 2-digit * Start Year for Graduation Cohort * Institution ID,Census Division,2,I,D,A,1,1
143,CIP 4-digit * Start Year for Graduation Cohort * Institution ID,Census Division,4,I,D,A,1,0
144,Degree Level * CIP 4-digit * Start Year for Graduation Cohort * Institution ID,Census Division,4,I,D,A,1,1
145,,NAICS Sector * Census Division,A,N,D,S,0,0
146,Degree Level,NAICS Sector * Census Division,A,N,D,S,0,1
147,CIP 2-digit,NAICS Sector * Census Division,2,N,D,S,0,0
148,Degree Level * CIP 2-digit,NAICS Sector * Census Division,2,N,D,S,0,1
149,CIP 4-digit,NAICS Sector * Census Division,4,N,D,S,0,0
150,Degree Level * CIP 4-digit,NAICS Sector * Census Division,4,N,D,S,0,1
151,Start Year for Graduation Cohort,NAICS Sector * Census Division,A,N,D,S,1,0
152,Degree Level * Start Year for Graduation Cohort,NAICS Sector * Census Division,A,N,D,S,1,1
153,CIP 2-digit * Start Year for Graduation Cohort,NAICS Sector * Census Division,2,N,D,S,1,0
154,Degree Level * CIP 2-digit * Start Year for Graduation Cohort,NAICS Sector * Census Division,2,N,D,S,1,1
155,CIP 4-digit * Start Year for Graduation Cohort,NAICS Sector * Census Division,4,N,D,S,1,0
156,Degree Level * CIP 4-digit * Start Year for Graduation Cohort,NAICS Sector * Census Division,4,N,D,S,1,1
157,Census Division of Institution,NAICS Sector * Census Division,A,D,D,S,0,0
