institution,label,city,institution_state,inst_level,statefips
E01703,ECPI UNIVERSITY - CULINARY INSTITUTE OF,NORFOLK,VA,I,51
E01704,ECPI UNIVERSITY - VIRGINIA BEACH HEALTH,VIRGINIA BEACH,VA,I,51
E01705,ECPI UNIVERSITY - RICHMOND SOUTH,RICHMOND,VA,I,51
E01706,ECPI UNIVERSITY - INNSBROOK,GLEN ALLEN,VA,I,51
E01707,ECPI UNIVERSITY - RICHMOND WEST,RICHMOND,VA,I,51
E01713,CAREER CARE INSTITUTE - VENTURA,VENTURA,CA,I,06
E01717,CORTIVA INSTITUTE - CHICAGO,CRYSTAL LAKE,IL,I,17
E01725,HERITAGE COLLEGE - LITTLE ROCK,LITTLE ROCK,AR,I,05
E01736,PLATT COLLEGE - MCCANN - LEWISBURG,LEWISBURG,PA,I,42
E01738,MIAMI INTERNATIONAL UNIVERSITY OF ART &,DURHAM,NC,I,37
E01739,MAKE-UP DESIGNORY -,NEW YORK,NY,I,36
E01740,ALLEN SCHOOL - BROOKLYN,BROOKLYN,NY,I,36
E01743,AMERICAN INTERCONTINENTAL UNIVERSITY,ATLANTA,GA,I,13
E01748,JOHN DEWEY COLLEGE - MANATI,MANATI,PR,I,72
E01751,VIRGINIA COLLEGE - CHARLESTON,NORTH CHARLESTON,SC,I,45
E01766,CAREER ACADEMY OF HAIR DESIGN - SILOAM,SILOAM SPRINGS,AR,I,05
E01767,DORSEY BUSINESS SCHOOL - WATERFORD/PONTI,PONTIAC,MI,I,26
E01785,PLATT COLLEGE - MILLER-MOTTE - FAYETTEVI,FAYETTEVILLE,NC,I,37
E01788,PLATT COLLEGE - MCCANN - ALLENTOWN,ALLENTOWN,PA,I,42
E01789,UNITECH TRAINING ACADEMY - WEST MONROE,WEST MONROE,LA,I,22
E01790,UNITECH TRAINING ACADEMY - HOUMA,HOUMA,LA,I,22
E01791,UNITECH TRAINING ACADEMY -  ALEXANDRIA,ALEXANDRIA,LA,I,22
E01792,UNITECH TRAINING ACADEMY - LAKE CHARLES,LAKE CHARLES,LA,I,22
E01796,ROSS MEDICAL EDUCATION CENTER - DAVISON,DAVISON,MI,I,26
E01820,FORTIS COLLEGE - INDIANAPOLIS,INDIANAPOLIS,IN,I,18
E01826,UNITED EDUCATION INSTITUTE - ONTARIO,ONTARIO,CA,I,06
E01827,UNITED EDUCATION INSTITUTE - ENCINO,ENCINO,CA,I,06
E01829,ROSS MEDICAL EDUCATION CENTER -,GRANGER,IN,I,18
