institution,label,city,institution_state,inst_level,statefips
002222,UNIV OF MASSACHUSETTS-BOSTON,BOSTON,MA,I,25
002224,WELLESLEY COLLEGE,WELLESLEY,MA,I,25
002225,WENTWORTH INSTITUTE OF TECHNOLOGY,BOSTON,MA,I,25
002226,WESTERN NEW ENGLAND UNIVERSITY,SPRINGFIELD,MA,I,25
002227,WHEATON COLLEGE,NORTON,MA,I,25
002229,WILLIAMS COLLEGE,WILLIAMSTOWN,MA,I,25
002233,WORCESTER POLYTECHNIC INSTITUTE,WORCESTER,MA,I,25
002234,ADRIAN COLLEGE,ADRIAN,MI,I,26
002235,ALBION COLLEGE,ALBION,MI,I,26
002236,ALMA COLLEGE,ALMA,MI,I,26
002237,ALPENA COMMUNITY COLLEGE,ALPENA,MI,I,26
002238,ANDREWS UNIVERSITY,BERRIEN SPRINGS,MI,I,26
002239,AQUINAS COLLEGE,GRAND RAPIDS,MI,I,26
002240,BAY DE NOC COMMUNITY COLLEGE,ESCANABA,MI,I,26
002241,CALVIN COLLEGE,GRAND RAPIDS,MI,I,26
002243,CENTRAL MICHIGAN UNIVERSITY,MOUNT PLEASANT,MI,I,26
002246,CLEARY UNIVERSITY,HOWELL,MI,I,26
002247,CONCORDIA UNIVERSITY - WISCONSIN - ANN A,ANN ARBOR,MI,I,26
002249,DAVENPORT UNIVERSITY,GRAND RAPIDS,MI,I,26
002251,DELTA COLLEGE,UNIVERSITY CENTER,MI,I,26
002259,EASTERN MICHIGAN UNIVERSITY,YPSILANTI,MI,I,26
002260,FERRIS STATE UNIVERSITY,BIG RAPIDS,MI,I,26
002261,CHARLES STEWART MOTT COMMUNITY CLG,FLINT,MI,I,26
002262,KETTERING UNIVERSITY,FLINT,MI,I,26
002263,GLEN OAKS COMMUNITY COLLEGE,CENTREVILLE,MI,I,26
002264,GOGEBIC COMMUNITY COLLEGE,IRONWOOD,MI,I,26
002265,GRACE CHRISTIAN UNIVERSITY,GRAND RAPIDS,MI,I,26
002266,CORNERSTONE UNIVERSITY,GRAND RAPIDS,MI,I,26
002267,GRAND RAPIDS COMMUNITY COLLEGE,GRAND RAPIDS,MI,I,26
002268,GRAND VALLEY STATE UNIVERSITY,ALLENDALE,MI,I,26
002269,GREAT LAKES CHRISTIAN COLLEGE,LANSING,MI,I,26
002270,HENRY FORD COMMUNITY COLLEGE,DEARBORN,MI,I,26
002273,HOPE COLLEGE,HOLLAND,MI,I,26
002274,JACKSON COMMUNITY COLLEGE,JACKSON,MI,I,26
002275,KALAMAZOO COLLEGE,KALAMAZOO,MI,I,26
002276,KELLOGG COMMUNITY COLLEGE,BATTLE CREEK,MI,I,26
002277,LAKE MICHIGAN COLLEGE,BENTON HARBOR,MI,I,26
002278,LANSING COMMUNITY COLLEGE,LANSING,MI,I,26
002279,LAWRENCE TECHNOLOGICAL UNIVERSITY,SOUTHFIELD,MI,I,26
002282,MADONNA UNIVERSITY,LIVONIA,MI,I,26
002284,MARYGROVE COLLEGE,DETROIT,MI,I,26
002288,ROCHESTER COLLEGE,ROCHESTER HILLS,MI,I,26
002290,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,I,26
002292,MICHIGAN TECHNOLOGICAL UNIV,HOUGHTON,MI,I,26
002293,LAKE SUPERIOR STATE UNIVERSITY,SAULT STE. MARIE,MI,I,26
002294,MONROE COUNTY COMMUNITY CLG,MONROE,MI,I,26
002295,MONTCALM COMMUNITY COLLEGE,SIDNEY,MI,I,26
002297,MUSKEGON COMMUNITY COLLEGE,MUSKEGON,MI,I,26
002299,NORTH CENTRAL MICHIGAN COLLEGE,PETOSKEY,MI,I,26
002301,NORTHERN MICHIGAN UNIVERSITY,MARQUETTE,MI,I,26
002302,NORTHWESTERN MICHIGAN COLLEGE,TRAVERSE CITY,MI,I,26
002304,OAKLAND COMMUNITY COLLEGE - AUBURN HILLS,AUBURN HILLS,MI,I,26
002305,OAKLAND COMMUNITY COLLEGE - HIGHLAND LAK,WATERFORD,MI,I,26
002306,OAKLAND COMMUNITY COLLEGE - ORCHARD RIDG,FARMINGTON HILLS,MI,I,26
002307,OAKLAND UNIVERSITY,ROCHESTER,MI,I,26
002308,OLIVET COLLEGE,OLIVET,MI,I,26
002310,ST. CLAIR COUNTY COMMUNITY COLLEGE,PORT HURON,MI,I,26
002311,KUYPER COLLEGE,GRAND RAPIDS,MI,I,26
002313,SACRED HEART MAJOR SEMINARY,DETROIT,MI,I,26
002314,SAGINAW VALLEY STATE UNIV,UNIVERSITY CENTER,MI,I,26
002315,SCHOOLCRAFT COLLEGE,LIVONIA,MI,I,26
002316,SIENA HEIGHTS UNIVERSITY,ADRIAN,MI,I,26
002317,SOUTHWESTERN MICHIGAN COLLEGE,DOWAGIAC,MI,I,26
002318,SPRING ARBOR UNIVERSITY,SPRING ARBOR,MI,I,26
002322,FINLANDIA UNIVERSITY,HANCOCK,MI,I,26
002323,UNIVERSITY OF DETROIT MERCY,DETROIT,MI,I,26
002325,UNIVERSITY OF MICHIGAN - ANN ARBOR,ANN ARBOR,MI,I,26
002326,UNIVERSITY OF MICHIGAN-DEARBORN,DEARBORN,MI,I,26
002327,UNIVERSITY OF MICHIGAN-FLINT,FLINT,MI,I,26
002328,WASHTENAW COMMUNITY COLLEGE,ANN ARBOR,MI,I,26
002329,WAYNE STATE UNIVERSITY,DETROIT,MI,I,26
002330,WESTERN MICHIGAN UNIVERSITY,KALAMAZOO,MI,I,26
002332,ANOKA-RAMSEY CC-CAMBRIDGE/COONRAPID,COON RAPIDS,MN,I,27
002334,AUGSBURG COLLEGE,MINNEAPOLIS,MN,I,27
002335,RIVERLAND COMMUNITY COLLEGE,AUSTIN,MN,I,27
002336,BEMIDJI STATE UNIVERSITY,BEMIDJI,MN,I,27
002337,BETHANY LUTHERAN COLLEGE INC,MANKATO,MN,I,27
002338,BETHEL UNIVERSITY,SAINT PAUL,MN,I,27
002339,CENTRAL LAKES COLG-BRAINERD/STAPLES,BRAINERD,MN,I,27
002340,CARLETON COLLEGE,NORTHFIELD,MN,I,27
002341,COLLEGE OF ST BENEDICT,SAINT JOSEPH,MN,I,27
002342,ST. CATHERINE UNIVERSITY,ST PAUL,MN,I,27
002343,COLLEGE OF ST SCHOLASTICA,DULUTH,MN,I,27
002345,UNIVERSITY OF ST THOMAS,ST PAUL,MN,I,27
002346,CONCORDIA COLLEGE-MOORHEAD,MOORHEAD,MN,I,27
002347,"CONCORDIA UNIVERSITY, ST PAUL, MN",SAINT PAUL,MN,I,27
002350,VERMILION COMMUNITY COLLEGE,ELY,MN,I,27
002353,GUSTAVUS ADOLPHUS COLLEGE,ST PETER,MN,I,27
002354,HAMLINE UNIVERSITY,ST PAUL,MN,I,27
002355,HIBBING COMMUNITY COLLEGE,HIBBING,MN,I,27
002356,ITASCA COMMUNITY COLLEGE,GRAND RAPIDS,MN,I,27
002358,MACALESTER COLLEGE,ST PAUL,MN,I,27
002360,"MINNESOTA STATE UNIVERSITY, MANKATO",MANKATO,MN,I,27
002361,MARTIN LUTHER COLLEGE,NEW ULM,MN,I,27
002362,MINNEAPOLIS COMM AND TECH COLLEGE,MINNEAPOLIS,MN,I,27
002365,MINNEAPOLIS COLLEGE OF ART & DESIGN,MINNEAPOLIS,MN,I,27
002367,MINNESOTA STATE UNIVERSITY MOORHEAD,MOORHEAD,MN,I,27
002369,NORTH CENTRAL UNIVERSITY,MINNEAPOLIS,MN,I,27
002370,NORTH HENNEPIN COMMUNITY COLLEGE,BROOKLYN PARK,MN,I,27
002371,UNIVERSITY OF NORTHWESTERN- ST PAUL,SAINT PAUL,MN,I,27
002373,ROCHESTER COMMUNITY/TECH COLLEGE,ROCHESTER,MN,I,27
002375,SOUTHWEST MINNESOTA STATE UNIVERSITY,MARSHALL,MN,I,27
002377,ST CLOUD STATE UNIVERSITY,SAINT CLOUD,MN,I,27
002379,SAINT JOHNS UNIVERSITY,COLLEGEVILLE,MN,I,27
002380,SAINT MARY'S UNIVERSITY,WINONA,MN,I,27
002382,ST OLAF COLLEGE,NORTHFIELD,MN,I,27
002383,CROWN COLLEGE,ST BONIFACIUS,MN,I,27
002385,NORTHLAND COMMUNITY & TECHNICAL CLG,THIEF RIVER FALLS,MN,I,27
002388,"UNIVERSITY OF MINNESOTA, DULUTH",DULUTH,MN,I,27
002389,"UNIVERSITY OF MINNESOTA, MORRIS",MORRIS,MN,I,27
002393,MINNESOTA STATE COLLEGE SOUTHEAST,WINONA,MN,I,27
002394,WINONA STATE UNIVERSITY,WINONA,MN,I,27
002396,ALCORN STATE UNIVERSITY,ALCORN STATE,MS,I,28
002397,BELHAVEN UNIVERSITY,JACKSON,MS,I,28
002398,BLUE MOUNTAIN COLLEGE,BLUE MOUNTAIN,MS,I,28
002401,COAHOMA COMMUNITY COLLEGE,CLARKSDALE,MS,I,28
002402,COPIAH-LINCOLN COMMUNITY COLLEGE,WESSON,MS,I,28
002403,DELTA STATE UNIVERSITY,CLEVELAND,MS,I,28
002404,EAST CENTRAL COMMUNITY COLLEGE,DECATUR,MS,I,28
002405,EAST MISSISSIPPI COMM COLLEGE,SCOOBA,MS,I,28
002407,HINDS COMMUNITY COLLEGE,RAYMOND,MS,I,28
002408,HOLMES COMMUNITY COLLEGE,GOODMAN,MS,I,28
002409,ITAWAMBA COMMUNITY COLLEGE,FULTON,MS,I,28
002410,JACKSON STATE UNIVERSITY,JACKSON,MS,I,28
002411,JONES COUNTY JUNIOR COLLEGE,ELLISVILLE,MS,I,28
002413,MERIDIAN COMMUNITY COLLEGE,MERIDIAN,MS,I,28
002414,MILLSAPS COLLEGE,JACKSON,MS,I,28
002415,MISSISSIPPI COLLEGE,CLINTON,MS,I,28
002416,MISSISSIPPI DELTA CMTY COLLEGE,MOORHEAD,MS,I,28
002417,MISSISSIPPI GULF CST CLG,PERKINSTON,MS,I,28
002422,MISSISSIPPI UNIV FOR WOMEN,COLUMBUS,MS,I,28
002423,MISSISSIPPI STATE UNIVERSITY,MISSISSIPPI STATE,MS,I,28
002424,MISSISSIPPI VALLEY STATE UNIVERSITY,ITTA BENA,MS,I,28
002426,NORTHEAST MS CMNTY COLLEGE,BOONEVILLE,MS,I,28
002427,NORTHWEST MISSISSIPPI COMMUNITY CLG,SENATOBIA,MS,I,28
002430,PEARL RIVER COMMUNITY COLLEGE,POPLARVILLE,MS,I,28
002433,RUST COLLEGE,HOLLY SPRINGS,MS,I,28
002436,SOUTHWEST MISSISSIPPI CMNTY CLG,SUMMIT,MS,I,28
002439,TOUGALOO COLLEGE,TOUGALOO,MS,I,28
002440,UNIVERSITY OF MISSISSIPPI,UNIVERSITY,MS,I,28
002441,UNIVERSITY OF SOUTHERN MISSISSIPPI,HATTIESBURG,MS,I,28
002447,WILLIAM CAREY UNIVERSITY,HATTIESBURG,MS,I,28
002449,AVILA UNIVERSITY,KANSAS CITY,MO,I,29
002450,CALVARY BIBLE COLLEGE,KANSAS CITY,MO,I,29
002453,CENTRAL METHODIST UNIVERSITY,FAYETTE,MO,I,29
002454,UNIVERSITY OF CENTRAL MISSOURI,WARRENSBURG,MO,I,29
002456,COLUMBIA COLLEGE,COLUMBIA,MO,I,29
002458,COTTEY COLLEGE,NEVADA,MO,I,29
002459,CROWDER COLLEGE,NEOSHO,MO,I,29
002460,CULVER STOCKTON COLLEGE,CANTON,MO,I,29
002461,DRURY UNIVERSITY,SPRINGFIELD,MO,I,29
002463,EVANGEL UNIVERSITY,SPRINGFIELD,MO,I,29
002464,FONTBONNE UNIVERSITY,ST LOUIS,MO,I,29
002466,HARRIS - STOWE STATE UNIVERSITY,SAINT LOUIS,MO,I,29
002467,CONCEPTION SEMINARY COLLEGE,CONCEPTION,MO,I,29
002468,JEFFERSON COLLEGE,HILLSBORO,MO,I,29
002469,ST LOUIS COMMUNITY COLLEGE,ST LOUIS,MO,I,29
002473,KANSAS CITY ART INSTITUTE,KANSAS CITY,MO,I,29
002476,KENRICK-GLENNON SEMINARY,ST LOUIS,MO,I,29
002479,LINCOLN UNIVERSITY,JEFFERSON CITY,MO,I,29
002480,LINDENWOOD UNIVERSITY,ST CHARLES,MO,I,29
002482,MARYVILLE UNIVERSITY,ST LOUIS,MO,I,29
002484,METROPOLITAN COMMUNITY COLLEGE,KANSAS CITY,MO,I,29
002485,MIDWESTERN BAPTIST THEOL SEMINARY,KANSAS CITY,MO,I,29
002486,MINERAL AREA COLLEGE,PARK HILLS,MO,I,29
002488,MISSOURI SOUTHERN STATE UNIVERSITY,JOPLIN,MO,I,29
002489,MISSOURI VALLEY COLLEGE,MARSHALL,MO,I,29
002490,MISSOURI WESTERN STATE UNIVERSITY,ST JOSEPH,MO,I,29
002491,MOBERLY AREA COMMUNITY COLLEGE,MOBERLY,MO,I,29
002495,TRUMAN STATE UNIVERSITY,KIRKSVILLE,MO,I,29
002496,NORTHWEST MISSOURI STATE UNIV,MARYVILLE,MO,I,29
002498,PARK UNIVERSITY,PARKVILLE,MO,I,29
002499,ROCKHURST UNIVERSITY,KANSAS CITY,MO,I,29
002500,COLLEGE OF THE OZARKS,POINT LOOKOUT,MO,I,29
002501,SOUTHEAST MISSOURI STATE UNIV,CAPE GIRARDEAU,MO,I,29
002502,SOUTHWEST BAPTIST UNIVERSITY,BOLIVAR,MO,I,29
002503,MISSOURI STATE UNIVERSITY,SPRINGFIELD,MO,I,29
002504,ST LOUIS COLLEGE OF PHARMACY,ST LOUIS,MO,I,29
002506,SAINT LOUIS UNIVERSITY,ST LOUIS,MO,I,29
002512,STEPHENS COLLEGE,COLUMBIA,MO,I,29
002514,NORTH CENTRAL MISSOURI COLLEGE,TRENTON,MO,I,29
002516,UNIVERSITY OF MISSOURI - COLUMBIA,COLUMBIA,MO,I,29
002517,MISSOURI UNIVERSITY OF SCIENCE & TECHNOL,ROLLA,MO,I,29
002518,UNIVERSITY OF MISSOURI-KANSAS CITY,KANSAS CITY,MO,I,29
002519,UNIVERSITY OF MISSOURI-ST LOUIS,ST LOUIS,MO,I,29
002520,WASHINGTON UNIVERSITY,ST LOUIS,MO,I,29
002521,WEBSTER UNIVERSITY,ST LOUIS,MO,I,29
002523,WESTMINSTER COLLEGE,FULTON,MO,I,29
002524,WILLIAM JEWELL COLLEGE,LIBERTY,MO,I,29
002525,WILLIAM WOODS UNIVERSITY,FULTON,MO,I,29
002526,CARROLL COLLEGE,HELENA,MT,I,30
002527,UNIVERSITY OF PROVIDENCE,GREAT FALLS,MT,I,30
002528,MILES COMMUNITY COLLEGE,MILES CITY,MT,I,30
002529,DAWSON COMMUNITY COLLEGE,GLENDIVE,MT,I,30
002530,MONTANA STATE UNIVERSITY - BILLINGS,BILLINGS,MT,I,30
002531,MONTANA TECH OF THE UNIV OF MONTANA,BUTTE,MT,I,30
002532,MONTANA STATE UNIVERSITY - BOZEMAN,BOZEMAN,MT,I,30
002533,MONTANA STATE UNIVERSITY-NORTHERN,HAVRE,MT,I,30
002534,ROCKY MOUNTAIN COLLEGE,BILLINGS,MT,I,30
002536,UNIVERSITY OF MONTANA (THE),MISSOULA,MT,I,30
002537,UNIVERSITY OF MONTANA WESTERN (THE),DILLON,MT,I,30
002538,BELLEVUE UNIVERSITY,BELLEVUE,NE,I,31
002539,CHADRON STATE COLLEGE,CHADRON,NE,I,31
002540,COLLEGE OF ST MARY,OMAHA,NE,I,31
002541,CONCORDIA UNIVERSITY,SEWARD,NE,I,31
002542,CREIGHTON UNIVERSITY,OMAHA,NE,I,31
002544,DOANE COLLEGE,CRETE,NE,I,31
002548,HASTINGS COLLEGE,HASTINGS,NE,I,31
002551,UNIVERSITY OF NEBRASKA AT KEARNEY,KEARNEY,NE,I,31
002553,MIDLAND UNIVERSITY,FREMONT,NE,I,31
002554,UNIVERSITY OF NEBRASKA-OMAHA,OMAHA,NE,I,31
002555,NEBRASKA WESLEYAN UNIVERSITY,LINCOLN,NE,I,31
002556,NORTHEAST COMMUNITY COLLEGE,NORFOLK,NE,I,31
002557,MID-PLAINS COMM. COLLEGE-ALL CAMPUSES,NORTH PLATTE,NE,I,31
002559,PERU STATE COLLEGE,PERU,NE,I,31
002560,WESTERN NEBRASKA COMMUNITY COLLEGE,SCOTTSBLUFF,NE,I,31
002563,UNION COLLEGE,LINCOLN,NE,I,31
002565,UNIVERSITY OF NEBRASKA-LINCOLN,LINCOLN,NE,I,31
002566,WAYNE STATE COLLEGE,WAYNE,NE,I,31
002567,YORK COLLEGE,YORK,NE,I,31
002568,UNIVERSITY OF NEVADA RENO,RENO,NV,I,32
002569,UNIVERSITY OF NEVADA-LAS VEGAS,LAS VEGAS,NV,I,32
002572,COLBY-SAWYER COLLEGE,NEW LONDON,NH,I,33
002573,DARTMOUTH COLLEGE,HANOVER,NH,I,33
002575,FRANKLIN PIERCE UNIVERSITY,RINDGE,NH,I,33
002579,NEW ENGLAND COLLEGE,HENNIKER,NH,I,33
002580,SOUTHERN NEW HAMPSHIRE UNIVERSITY,MANCHESTER,NH,I,33
002581,NHTI  - CONCORD'S COMMUNITY COLLEGE,CONCORD,NH,I,33
002582,MANCHESTER COMMUNITY COLLEGE,MANCHESTER,NH,I,33
002583,GREAT BAY COMMUNITY COLLEGE,PORTSMOUTH,NH,I,33
002586,RIVIER UNIVERSITY,NASHUA,NH,I,33
002587,SAINT ANSELM COLLEGE,MANCHESTER,NH,I,33
002589,UNIVERSITY OF NEW HAMPSHIRE,DURHAM,NH,I,33
002590,KEENE STATE COLLEGE,KEENE,NH,I,33
002591,PLYMOUTH STATE UNIVERSITY,PLYMOUTH,NH,I,33
002596,ATLANTIC COMMUNITY COLLEGE,MAYS LANDING,NJ,I,34
002597,BLOOMFIELD COLLEGE,BLOOMFIELD,NJ,I,34
002598,CALDWELL COLLEGE,CALDWELL,NJ,I,34
002599,CENTENARY UNIVERSITY,HACKETTSTOWN,NJ,I,34
002600,COLLEGE OF SAINT ELIZABETH,MORRISTOWN,NJ,I,34
002601,CUMBERLAND COUNTY COLLEGE,VINELAND,NJ,I,34
002603,DREW UNIVERSITY,MADISON,NJ,I,34
002604,FAIRLEIGH DICKINSON UNIVERSITY,MADISON,NJ,I,34
002605,FAIRLEIGH DICKINSON UNIV-ED WMS CLG,HACKENSACK,NJ,I,34
002607,FAIRLEIGH DICKINSON UNIV-TEANECK,TEANECK,NJ,I,34
002608,GEORGIAN COURT UNIVERSITY,LAKEWOOD,NJ,I,34
002609,ROWAN UNIVERSITY,GLASSBORO,NJ,I,34
002610,FELICIAN COLLEGE,LODI,NJ,I,34
002613,NEW JERSEY CITY UNIVERSITY,JERSEY CITY,NJ,I,34
002615,MIDDLESEX COUNTY COLLEGE,EDISON,NJ,I,34
002616,MONMOUTH UNIVERSITY,WEST LONG BRANCH,NJ,I,34
002617,MONTCLAIR STATE UNIVERSITY,MONTCLAIR,NJ,I,34
002621,NEW JERSEY INST OF TECHNOLOGY,NEWARK,NJ,I,34
002622,KEAN UNIVERSITY,UNION,NJ,I,34
002624,OCEAN COUNTY COLLEGE,TOMS RIVER,NJ,I,34
002625,WILLIAM PATERSON UNIVERSITY,WAYNE,NJ,I,34
002627,PRINCETON UNIVERSITY,PRINCETON,NJ,I,34
002628,RIDER UNIVERSITY,LAWRENCEVILLE,NJ,I,34
002629,"RUTGERS, THE STATE UNIVERSITY OF NJ",NEW BRUNS-NEWARK-CAMDEN,NJ,I,34
002632,SETON HALL UNIVERSITY,SOUTH ORANGE,NJ,I,34
002638,SAINT PETER'S UNIVERSITY,JERSEY CITY,NJ,I,34
002639,STEVENS INSTITUTE OF TECHNOLOGY,HOBOKEN,NJ,I,34
002641,MERCER COUNTY COMMUNITY COLLEGE,TRENTON,NJ,I,34
002642,COLLEGE OF NEW JERSEY (THE),EWING,NJ,I,34
002643,UNION COUNTY COLLEGE,CRANFORD,NJ,I,34
002649,SANTA FE UNIVERSITY OF ART AND DESIGN,SANTA FE,NM,I,35
002651,EASTERN NEW MEXICO UNIV PORTALES,PORTALES,NM,I,35
002653,NEW MEXICO HIGHLANDS UNIVERSITY,LAS VEGAS,NM,I,35
002654,NEW MEXICO INST OF MINING & TECH,SOCORRO,NM,I,35
002655,NEW MEXICO JUNIOR COLLEGE,HOBBS,NM,I,35
002656,NEW MEXICO MILITARY INSTITUTE,ROSWELL,NM,I,35
002657,NEW MEXICO STATE UNIVERSITY,LAS CRUCES,NM,I,35
002658,NEW MEXICO STATE UNIV-ALAMOGORDO,ALAMOGORDO,NM,I,35
002659,NEW MEXICO STATE UNIV-CARLSBAD,CARLSBAD,NM,I,35
002660,SAN JUAN COLLEGE,FARMINGTON,NM,I,35
002661,EASTERN NEW MEXICO UNIV-ROSWELL CAM,ROSWELL,NM,I,35
002663,THE UNIVERSITY OF NEW MEXICO,ALBUQUERQUE,NM,I,35
002664,WESTERN NEW MEXICO UNIVERSITY,SILVER CITY,NM,I,35
002665,VAUGHN COLLEGE OF AERONAUTICS AND TECHNO,EAST ELMHURST,NY,I,36
002666,ADELPHI UNIVERSITY,GARDEN CITY,NY,I,36
002667,DOWLING COLLEGE,OAKDALE,NY,I,36
002668,ALFRED UNIVERSITY,ALFRED,NY,I,36
002670,CLARKS SUMMIT UNIVERSITY,SOUTH ABINGTON TWP.,PA,I,42
002671,BARD COLLEGE,ANNANDALE-ON-HUDSON,NY,I,36
002678,BRYANT & STRATTON COLLEGE,BUFFALO,NY,I,36
002681,CANISIUS COLLEGE,BUFFALO,NY,I,36
002685,CAZENOVIA COLLEGE,CAZENOVIA,NY,I,36
002686,CITY UNIV OF NEW YORK-CENTRAL,NEW YORK,NY,I,36
002687,CUNY-BROOKLYN COLLEGE,BROOKLYN,NY,I,36
002688,CITY COLLEGE-CUNY,NEW YORK,NY,I,36
002689,CUNY-HUNTER COLLEGE,NEW YORK,NY,I,36
002690,QUEENS COLLEGE-CUNY,FLUSHING,NY,I,36
002691,CUNY- BOROUGH OF MANHATTAN CMTY CLG,NEW YORK,NY,I,36
002692,CUNY BRONX COMMUNITY COLLEGE,BRONX,NY,I,36
002693,CUNY-JOHN JAY CLG CRIMINAL JUSTICE,NEW YORK,NY,I,36
002694,KINGSBOROUGH COMMUNITY COLLEGE,BROOKLYN,NY,I,36
002696,NY CITY COLLEGE OF TECHNOLOGY-CUNY,BROOKLYN,NY,I,36
002697,QUEENSBOROUGH COMMUNITY COLLEGE,BAYSIDE,NY,I,36
002698,CUNY THE COLLEGE OF STATEN ISLAND,STATEN ISLAND,NY,I,36
002699,CLARKSON UNIVERSITY,POTSDAM,NY,I,36
002701,COLGATE UNIVERSITY,HAMILTON,NY,I,36
002703,COLLEGE OF MOUNT SAINT VINCENT,RIVERDALE,NY,I,36
002704,COLLEGE OF NEW ROCHELLE,NEW ROCHELLE,NY,I,36
002705,COLLEGE OF SAINT ROSE,ALBANY,NY,I,36
002707,COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,NEW YORK,NY,I,36
002708,BARNARD COLLEGE-COLUMBIA UNIV,NEW YORK,NY,I,36
002709,CONCORDIA COLLEGE,BRONXVILLE,NY,I,36
002710,COOPER UNION,NEW YORK,NY,I,36
002711,CORNELL UNIVERSITY,ITHACA,NY,I,36
002712,D'YOUVILLE COLLEGE,BUFFALO,NY,I,36
002713,DOMINICAN COLLEGE,ORANGEBURG,NY,I,36
002718,ELMIRA COLLEGE,ELMIRA,NY,I,36
002722,FORDHAM UNIVERSITY,BRONX,NY,I,36
002727,PACE UNIVERSITY - WHITE PLAINS,WHITE PLAINS,NY,I,36
002728,HAMILTON COLLEGE,CLINTON,NY,I,36
002729,HARTWICK COLLEGE,ONEONTA,NY,I,36
002731,HOBART & WILLIAM SMITH COLLEGES,GENEVA,NY,I,36
002732,HOFSTRA UNIVERSITY,HEMPSTEAD,NY,I,36
002734,HOUGHTON COLLEGE,HOUGHTON,NY,I,36
002735,HILBERT COLLEGE,HAMBURG,NY,I,36
002737,IONA COLLEGE,NEW ROCHELLE,NY,I,36
002739,ITHACA COLLEGE,ITHACA,NY,I,36
002740,JEWISH THEOLOGICAL SEMINARY OF AMER,NEW YORK,NY,I,36
002741,AMERICAN JEWISH UNIVERSITY,BEL AIR,CA,I,06
002742,THE JUILLIARD SCHOOL,NEW YORK,NY,I,36
002744,KEUKA COLLEGE,KEUKA PARK,NY,I,36
002748,LEMOYNE COLLEGE,SYRACUSE,NY,I,36
002751,LONG ISLAND UNIVERSITY,BROOKVILLE,NY,I,36
002758,MANHATTAN COLLEGE,RIVERDALE,NY,I,36
002759,MANHATTAN SCHOOL OF MUSIC,NEW YORK,NY,I,36
002760,MANHATTANVILLE COLLEGE,PURCHASE,NY,I,36
002763,MARIA COLLEGE,ALBANY,NY,I,36
002765,MARIST COLLEGE,POUGHKEEPSIE,NY,I,36
002769,MARYMOUNT MANHATTAN COLLEGE,NEW YORK,NY,I,36
002772,MERCY COLLEGE,DOBBS FERRY,NY,I,36
002775,MOLLOY COLLEGE,ROCKVILLE CENTRE,NY,I,36
002777,MEDAILLE COLLEGE,BUFFALO,NY,I,36
002778,MOUNT SAINT MARY COLLEGE,NEWBURGH,NY,I,36
002779,NAZARETH COLLEGE OF ROCHESTER,ROCHESTER,NY,I,36
002780,THE NEW SCHOOL,NEW YORK,NY,I,36
002782,NEW YORK INSTITUTE OF TECHNOLOGY,OLD WESTBURY,NY,I,36
002785,NEW YORK UNIVERSITY,NEW YORK,NY,I,36
002788,NIAGARA UNIVERSITY,NIAGARA UNIVERSITY,NY,I,36
002790,NYACK COLLEGE,NYACK,NY,I,36
002791,PACE UNIVERSITY - NEW YORK,NEW YORK,NY,I,36
002792,PACE UNIVERSITY-PLEASANTVILLE,PLEASANTVILLE,NY,I,36
002795,PAUL SMITHS CLG OF ARTS & SCIENCES,PAUL SMITHS,NY,I,36
002798,PRATT INSTITUTE,BROOKLYN,NY,I,36
002803,RENSSELAER POLYTECHNIC INSTITUTE,TROY,NY,I,36
002805,ROBERTS WESLEYAN COLLEGE,ROCHESTER,NY,I,36
002806,ROCHESTER INSTITUTE OF TECHNOLOGY,ROCHESTER,NY,I,36
002808,DAEMEN COLLEGE,AMHERST,NY,I,36
002810,THE SAGE COLLEGES,TROY,NY,I,36
002812,TROCAIRE COLLEGE,BUFFALO,NY,I,36
002813,SARAH LAWRENCE COLLEGE,BRONXVILLE,NY,I,36
002814,SKIDMORE COLLEGE,SARATOGA SPRINGS,NY,I,36
002815,ST BERNARDS SCH THEOLOGY & MINISTRY,ROCHESTER,NY,I,36
002816,SIENA COLLEGE,LOUDONVILLE,NY,I,36
002817,ST BONAVENTURE UNIVERSITY,SAINT BONAVENTURE,NY,I,36
002820,ST FRANCIS COLLEGE,BROOKLYN,NY,I,36
002821,ST JOHN FISHER COLLEGE,ROCHESTER,NY,I,36
002823,ST JOHN'S UNIVERSITY,JAMAICA,NY,I,36
002825,ST JOSEPH'S COLLEGE,BROOKLYN,NY,I,36
002829,ST LAWRENCE UNIVERSITY,CANTON,NY,I,36
002832,ST THOMAS AQUINAS COLLEGE,SPARKILL,NY,I,36
002835,SUNY AT ALBANY,ALBANY,NY,I,36
002836,BINGHAMTON UNIVERSITY (SUNY),BINGHAMTON,NY,I,36
002837,SUNY AT BUFFALO,BUFFALO,NY,I,36
002838,SUNY AT STONY BROOK,STONY BROOK,NY,I,36
002839,SUNY-DOWNSTATE MEDICAL CENTER,BROOKLYN,NY,I,36
002840,SUNY UPSTATE MEDICAL UNIVERSITY,SYRACUSE,NY,I,36
002841,SUNY BROCKPORT - FIN AID OFF,BROCKPORT,NY,I,36
002842,BUFFALO STATE COLLEGE - SUNY,BUFFALO,NY,I,36
002843,SUNY COLLEGE-CORTLAND,CORTLAND,NY,I,36
002844,SUNY AT FREDONIA,FREDONIA,NY,I,36
002845,SUNY GENESEO,GENESEO,NY,I,36
